i,scroll,segment,recipe,y0,x0,bin,mass_letter,key,frac_above,pitch_um
201,PHercParis4,20260623151729-w073-076,1um_s1z2,26112,56576,0.75-0.82,0.7523,PHercParis4/segments/20260623151729-w073-076/ink-detection/downsampled/PHercParis4-20260623151729-1.129um-0.23m-78keV-volume-20260608103018-L1-20260709123958-mrg20736-1um-s1z2-tile256-stride128-ds8.jpg,0.136,2.258
202,PHerc1667,20240304144031-w018_20240304144031_flatboi,1um_s1z2,26112,13056,0.93-0.95,0.9301,PHerc1667/segments/20240304144031-w018_20240304144031_flatboi/ink-detection/downsampled/PHerc1667-20240304144031-1.129um-0.22m-59keV-volume-20260323082859-L1-20260709123958-mrg20736-1um-s1z2-tile256-stride128-ds8.jpg,0.1446,2.258
203,PHerc0139,20250223000000-w059_2025022312,1um_s1z2,13056,4352,0.50-0.65,0.5007,PHerc0139/segments/20250223000000-w059_2025022312/ink-detection/downsampled/PHerc0139-20250223000000-1.129um-0.22m-59keV-volume-20260413113053-L1-20260709123958-mrg20736-1um-s1z2-tile256-stride128-ds8.jpg,0.1699,2.258
204,PHercParis4,20260623155240-w092-094,1um_s1z2,30464,26112,0.30-0.50,0.4585,PHercParis4/segments/20260623155240-w092-094/ink-detection/downsampled/PHercParis4-20260623155240-1.129um-0.23m-78keV-volume-20260608103018-L1-20260709123958-mrg20736-1um-s1z2-tile256-stride128-ds8.jpg,0.1376,2.258
205,PHerc0139,20250223000000-w059_2025022312,1um_s1z2,8704,13056,0.82-0.87,0.8499,PHerc0139/segments/20250223000000-w059_2025022312/ink-detection/downsampled/PHerc0139-20250223000000-1.129um-0.22m-59keV-volume-20260413113053-L1-20260709123958-mrg20736-1um-s1z2-tile256-stride128-ds8.jpg,0.1291,2.258
206,PHercParis4,20260623164141-w113-115,1um_s1z2,43520,34816,0.00-0.30,0.1654,PHercParis4/segments/20260623164141-w113-115/ink-detection/downsampled/PHercParis4-20260623164141-1.129um-0.23m-78keV-volume-20260608103018-L1-20260709123958-mrg20736-1um-s1z2-tile256-stride128-ds8.jpg,0.1553,2.258
207,PHercParis4,20260623164704-w116-117,1um_s1z2,21760,82688,0.87-0.90,0.8909,PHercParis4/segments/20260623164704-w116-117/ink-detection/downsampled/PHercParis4-20260623164704-1.129um-0.23m-78keV-volume-20260608103018-L1-20260709123958-mrg20736-1um-s1z2-tile256-stride128-ds8.jpg,0.1479,2.258
208,PHerc1667,20251208130119-w028_20251208130119156_flatboi,1um_s1z2,13056,17408,0.50-0.65,0.5553,PHerc1667/segments/20251208130119-w028_20251208130119156_flatboi/ink-detection/downsampled/PHerc1667-20251208130119-1.129um-0.22m-59keV-volume-20260323082859-L1-20260709123958-mrg20736-1um-s1z2-tile256-stride128-ds8.jpg,0.0665,2.258
209,PHerc0139,20250108000003-w028_2025010836,1um_s1z2,8704,0,0.30-0.50,0.4308,PHerc0139/segments/20250108000003-w028_2025010836/ink-detection/downsampled/PHerc0139-20250108000003-1.129um-0.22m-59keV-volume-20260413113053-L1-20260709123958-mrg20736-1um-s1z2-tile256-stride128-ds8.jpg,0.0432,2.258
210,PHerc0172,20251110135146-w085_20251110135146457_flatboi,other,3720,2480,0.65-0.75,0.678,PHerc0172/segments/20251110135146-w085_20251110135146457_flatboi/ink-detection/downsampled/PHerc0172-20251110135146-7.91um-53keV-volume-20241024131838-20251222202946-timesformer_scroll5_november19-tile64-stride16-ds8.jpg,0.1349,7.91
211,PHerc0172,20251112163527-w071_20251112163527854_flatboi,other,0,1240,0.30-0.50,0.5321,PHerc0172/segments/20251112163527-w071_20251112163527854_flatboi/ink-detection/downsampled/PHerc0172-20251112163527-7.91um-53keV-volume-20241024131838-20251222202946-timesformer_scroll5_november19-tile64-stride16-ds8.jpg,0.1012,7.91
212,PHercParis4,20260623153216-w081-084,1um_s1z2,34816,65280,0.65-0.75,0.6714,PHercParis4/segments/20260623153216-w081-084/ink-detection/downsampled/PHercParis4-20260623153216-1.129um-0.23m-78keV-volume-20260608103018-L1-20260709123958-mrg20736-1um-s1z2-tile256-stride128-ds8.jpg,0.0889,2.258
213,PHerc1667,20240304144031-w018_20240304144031_flatboi,1um_s1z2,30464,82688,0.00-0.30,0.0829,PHerc1667/segments/20240304144031-w018_20240304144031_flatboi/ink-detection/downsampled/PHerc1667-20240304144031-1.129um-0.22m-59keV-volume-20260323082859-L1-20260709123958-mrg20736-1um-s1z2-tile256-stride128-ds8.jpg,0.0108,2.258
214,PHerc1667,20240304144031-w018_20240304144031_flatboi,1um_s1z2,26112,69632,0.90-0.93,0.9004,PHerc1667/segments/20240304144031-w018_20240304144031_flatboi/ink-detection/downsampled/PHerc1667-20240304144031-1.129um-0.22m-59keV-volume-20260323082859-L1-20260709123958-mrg20736-1um-s1z2-tile256-stride128-ds8.jpg,0.1214,2.258
215,PHerc0172,20251110110112-w066_20251110110112608_flatboi,other,2480,6200,0.93-0.95,0.7234,PHerc0172/segments/20251110110112-w066_20251110110112608_flatboi/ink-detection/downsampled/PHerc0172-20251110110112-7.91um-53keV-volume-20241024131838-20251222202946-timesformer_scroll5_november19-tile64-stride16-ds8.jpg,0.2222,7.91
216,PHerc0139,20260318000000-w049_20260318,1um_s1z2,4352,0,0.65-0.75,0.6931,PHerc0139/segments/20260318000000-w049_20260318/ink-detection/downsampled/PHerc0139-20260318000000-1.129um-0.22m-59keV-volume-20260413113053-L1-20260709123958-mrg20736-1um-s1z2-tile256-stride128-ds8.jpg,0.0301,2.258
217,PHerc0172,20251114202035-w081_20251114202035261_flatboi,other,7440,8680,0.87-0.90,0.8931,PHerc0172/segments/20251114202035-w081_20251114202035261_flatboi/ink-detection/downsampled/PHerc0172-20251114202035-7.91um-53keV-volume-20241024131838-20251222202946-timesformer_scroll5_november19-tile64-stride16-ds8.jpg,0.2302,7.91
218,PHerc1667,20260105050000-w032_2026010505_flatboi,1um_s1z2,13056,21760,0.65-0.75,0.6853,PHerc1667/segments/20260105050000-w032_2026010505_flatboi/ink-detection/downsampled/PHerc1667-20260105050000-1.129um-0.22m-59keV-volume-20260323082859-L1-20260709123958-mrg20736-1um-s1z2-tile256-stride128-ds8.jpg,0.0592,2.258
219,PHerc0172,20251115002747-auto_grown_20251115002740308_7_flatboi,other,2480,9920,0.75-0.82,0.7618,PHerc0172/segments/20251115002747-auto_grown_20251115002740308_7_flatboi/ink-detection/downsampled/PHerc0172-20251115002747-7.91um-53keV-volume-20241024131838-20251222202946-timesformer_scroll5_november19-tile64-stride16-ds8.jpg,0.1666,7.91
220,PHerc0172,20251114202035-w081_20251114202035261_flatboi,other,1240,1240,0.90-0.93,0.9082,PHerc0172/segments/20251114202035-w081_20251114202035261_flatboi/ink-detection/downsampled/PHerc0172-20251114202035-7.91um-53keV-volume-20241024131838-20251222202946-timesformer_scroll5_november19-tile64-stride16-ds8.jpg,0.1904,7.91
221,PHercParis4,20260623141924-w010-027,1um_s1z2,34816,0,0.95-1.01,0.9551,PHercParis4/segments/20260623141924-w010-027/ink-detection/downsampled/PHercParis4-20260623141924-1.129um-0.23m-78keV-volume-20260608103018-L1-20260709123958-mrg20736-1um-s1z2-tile256-stride128-ds8.jpg,0.1344,2.258
222,PHerc1667,20240304161941-w023_20240304161941_flatboi,1um_s1z2,26112,69632,0.87-0.90,0.8908,PHerc1667/segments/20240304161941-w023_20240304161941_flatboi/ink-detection/downsampled/PHerc1667-20240304161941-1.129um-0.22m-59keV-volume-20260323082859-L1-20260709123958-mrg20736-1um-s1z2-tile256-stride128-ds8.jpg,0.1245,2.258
223,PHercParis4,20260623164141-w113-115,1um_s1z2,30464,169728,0.50-0.65,0.5884,PHercParis4/segments/20260623164141-w113-115/ink-detection/downsampled/PHercParis4-20260623164141-1.129um-0.23m-78keV-volume-20260608103018-L1-20260709123958-mrg20736-1um-s1z2-tile256-stride128-ds8.jpg,0.076,2.258
224,PHercParis4,20260623143441-w038-045,1um_s1z2,21760,108800,0.93-0.95,0.9467,PHercParis4/segments/20260623143441-w038-045/ink-detection/downsampled/PHercParis4-20260623143441-1.129um-0.23m-78keV-volume-20260608103018-L1-20260709123958-mrg20736-1um-s1z2-tile256-stride128-ds8.jpg,0.1579,2.258
225,PHerc0139,20260310000000-w037_2026031015,1um_s1z2,4352,0,0.87-0.90,0.8792,PHerc0139/segments/20260310000000-w037_2026031015/ink-detection/downsampled/PHerc0139-20260310000000-1.129um-0.22m-59keV-volume-20260413113053-L1-20260709123958-mrg20736-1um-s1z2-tile256-stride128-ds8.jpg,0.134,2.258
226,PHerc1667,20240304161941-w023_20240304161941_flatboi,1um_s1z2,26112,73984,0.75-0.82,0.7964,PHerc1667/segments/20240304161941-w023_20240304161941_flatboi/ink-detection/downsampled/PHerc1667-20240304161941-1.129um-0.22m-59keV-volume-20260323082859-L1-20260709123958-mrg20736-1um-s1z2-tile256-stride128-ds8.jpg,0.0763,2.258
227,PHerc0172,20251107110950-w064_20251107110950052_flatboi,other,4960,2480,0.95-1.01,0.9051,PHerc0172/segments/20251107110950-w064_20251107110950052_flatboi/ink-detection/downsampled/PHerc0172-20251107110950-7.91um-53keV-volume-20241024131838-20251222202946-timesformer_scroll5_november19-tile64-stride16-ds8.jpg,0.2235,7.91
228,PHerc0172,20251115002744-auto_grown_20251115002740308_4_flatboi,other,11160,48360,0.50-0.65,0.5266,PHerc0172/segments/20251115002744-auto_grown_20251115002740308_4_flatboi/ink-detection/downsampled/PHerc0172-20251115002744-7.91um-53keV-volume-20241024131838-20251222202946-timesformer_scroll5_november19-tile64-stride16-ds8.jpg,0.0944,7.91
229,PHerc1667,20240304144031-w018_20240304144031_flatboi,1um_s1z2,21760,69632,0.82-0.87,0.8441,PHerc1667/segments/20240304144031-w018_20240304144031_flatboi/ink-detection/downsampled/PHerc1667-20240304144031-1.129um-0.22m-59keV-volume-20260323082859-L1-20260709123958-mrg20736-1um-s1z2-tile256-stride128-ds8.jpg,0.1098,2.258
230,PHerc0172,20251115002744-auto_grown_20251115002740308_4_flatboi,other,4960,32240,0.00-0.30,0.2959,PHerc0172/segments/20251115002744-auto_grown_20251115002740308_4_flatboi/ink-detection/downsampled/PHerc0172-20251115002744-7.91um-53keV-volume-20241024131838-20251222202946-timesformer_scroll5_november19-tile64-stride16-ds8.jpg,0.0542,7.91
231,PHerc0139,20250108000001-w026_2025010854,1um_s1z2,8704,17408,0.00-0.30,0.2936,PHerc0139/segments/20250108000001-w026_2025010854/ink-detection/downsampled/PHerc0139-20250108000001-1.129um-0.22m-59keV-volume-20260413113053-L1-20260709123958-mrg20736-1um-s1z2-tile256-stride128-ds8.jpg,0.0128,2.258
232,PHercParis4,20260623164704-w116-117,1um_s1z2,30464,95744,0.82-0.87,0.8273,PHercParis4/segments/20260623164704-w116-117/ink-detection/downsampled/PHercParis4-20260623164704-1.129um-0.23m-78keV-volume-20260608103018-L1-20260709123958-mrg20736-1um-s1z2-tile256-stride128-ds8.jpg,0.1589,2.258
233,PHerc1667,20251208130119-w028_20251208130119156_flatboi,1um_s1z2,13056,13056,0.30-0.50,0.4256,PHerc1667/segments/20251208130119-w028_20251208130119156_flatboi/ink-detection/downsampled/PHerc1667-20251208130119-1.129um-0.22m-59keV-volume-20260323082859-L1-20260709123958-mrg20736-1um-s1z2-tile256-stride128-ds8.jpg,0.0552,2.258
234,PHerc0139,20260227000000-w052_2026022705,1um_s1z2,8704,8704,0.75-0.82,0.7501,PHerc0139/segments/20260227000000-w052_2026022705/ink-detection/downsampled/PHerc0139-20260227000000-1.129um-0.22m-59keV-volume-20260413113053-L1-20260709123958-mrg20736-1um-s1z2-tile256-stride128-ds8.jpg,0.0528,2.258
235,PHerc0172,20251115002743-auto_grown_20251115002740308_3_flatboi,other,4960,19840,0.82-0.87,0.5844,PHerc0172/segments/20251115002743-auto_grown_20251115002740308_3_flatboi/ink-detection/downsampled/PHerc0172-20251115002743-7.91um-53keV-volume-20241024131838-20251222202946-timesformer_scroll5_november19-tile64-stride16-ds8.jpg,0.1289,7.91
236,PHercParis4,20260623143441-w038-045,1um_s1z2,17408,134912,0.90-0.93,0.9293,PHercParis4/segments/20260623143441-w038-045/ink-detection/downsampled/PHercParis4-20260623143441-1.129um-0.23m-78keV-volume-20260608103018-L1-20260709123958-mrg20736-1um-s1z2-tile256-stride128-ds8.jpg,0.1466,2.258
237,PHercParis4,20231210121321,1um_s1z2,26112,21760,0.95-1.01,0.9539,PHercParis4/segments/20231210121321/ink-detection/downsampled/PHercParis4-20231210121321-1.129um-0.23m-78keV-volume-20260608103018-L1-20260709123958-mrg20736-1um-s1z2-tile256-stride128-ds8.jpg,0.1717,2.258
238,PHercParis4,20260623142658-w028-037,1um_s1z2,26112,139264,0.90-0.93,0.9053,PHercParis4/segments/20260623142658-w028-037/ink-detection/downsampled/PHercParis4-20260623142658-1.129um-0.23m-78keV-volume-20260608103018-L1-20260709123958-mrg20736-1um-s1z2-tile256-stride128-ds8.jpg,0.0985,2.258
239,PHercParis4,20260623143441-w038-045,1um_s1z2,39168,139264,0.93-0.95,0.9488,PHercParis4/segments/20260623143441-w038-045/ink-detection/downsampled/PHercParis4-20260623143441-1.129um-0.23m-78keV-volume-20260608103018-L1-20260709123958-mrg20736-1um-s1z2-tile256-stride128-ds8.jpg,0.1167,2.258
240,PHercParis4,20230702185753,1um_s1z2,43520,8704,0.95-1.01,0.9622,PHercParis4/segments/20230702185753/ink-detection/downsampled/PHercParis4-20230702185753-1.129um-0.23m-78keV-volume-20260608103018-L1-20260709123958-mrg20736-1um-s1z2-tile256-stride128-ds8.jpg,0.1489,2.258
